Inventory
Id;title;subtitle;Authors;publisher;storingLocation;comment;;;;
;The Team that managed Itself;A Story of Leadership;Christina Wodtke;;IKEA #10;;;;;
;Limitless;Upgrade Your Brain, Learn Anything Faster, and Unlock your Exceptional Life;Jim Kwik;;IKEA #10;;;;;
;Der Flüsterer;;Andreas Franz;Knaur;Ikea #11;;;;;
;Tödliches Lachen;;Andreas Franz;Knaur;Ikea #11;;;;;
;Die Bankerin;;Andreas Franz;Knaur;Ikea #11;;;;;
;Der Jäger;;Andreas Franz;Knaur;Ikea #11;;;;;
;Das achte Opfer;;Andreas Franz;Knaur;Ikea #11;;;;;
;Tödlicher Absturz;;Andreas Franz;Knaur;Ikea #11;;;;;
;Blutwette;;Andreas Franz;Knaur;Ikea #11;;;;;
;Der Panther;;Andreas Franz;Knaur;Ikea #11;;;;;
;Teuflische Versprechen;;Andreas Franz;Knaur;Ikea #11;;;;;
;Jung, blond, tot;;Andreas Franz;Knaur;Ikea #11;;;;;
;Die Erbin;;John Grisham;Heyne;Ikea #11;;;;;
;Der Regen Macher;;John Grisham;Heyne;Ikea #11;;;;;
;Die Firma;;John Grisham;Heyne;Ikea #11;;;;;
;Das Geständnis;;John Grisham;Heyne;Ikea #11;;;;;
;Der Anwalt;;John Grisham;Heyne;Ikea #11;;;;;
;Der Gerechte;;John Grisham;Heyne;Ikea #11;;;;;
;Die Jury;;John Grisham;Heyne;Ikea #11;;;;;
;Forderung;;John Grisham;Heyne;Ikea #11;;;;;
;Die Bruderschaft;;John Grisham;Heyne;Ikea #11;;;;;
;Die Wächter;;John Grisham;Heyne;Ikea #11;;;;;
;Das Komplott;;John Grisham;Heyne;Ikea #11;;;;;
;Der Gefangene;;John Grisham;Heyne;Ikea #11;;;;;
;Verteidigung;;John Grisham;Heyne;Ikea #11;;;;;
;Der Coach;;John Grisham;;Ikea #11;;;;;
;The Reckoning;;John Grisham;Hodder;Ikea #11;;;;;
